"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1",2,2017-01-01,"21:20",6,2,4,"Dark",2,9,2,2,2,16
"2",2,2017-01-04,"15:00",6,1,1,"Daylight",1,9,3,2,2,67
"3",2,2017-01-05,"07:32",3,2,4,"Dark",1,9,1,3,1,56
"4",2,2017-01-05,"09:30",3,2,1,"Daylight",1,4,1,1,1,20
"5",2,2017-01-14,"09:09",6,4,1,"Daylight",1,9,1,3,1,46
"7",1,2017-01-16,"10:59",3,2,1,"Daylight",1,9,3,3,2,25
"8",3,2017-01-19,"18:49",4,1,4,"Dark",1,9,1,3,2,50
"9",1,2017-01-20,"14:08",6,1,1,"Daylight",1,9,3,3,2,64
"10",1,2017-01-22,"13:25",3,2,1,"Daylight",1,9,1,3,2,22
"11",2,2017-01-24,"11:26",3,2,1,"Daylight",2,9,2,3,2,21
"12",2,2017-01-24,"18:30",3,1,4,"Dark",1,9,1,3,1,29
"13",2,2017-01-25,"12:58",6,1,1,"Daylight",1,9,1,3,1,24
"14",3,2017-01-26,"11:33",3,2,1,"Daylight",1,19,1,3,1,29
"15",1,2017-01-26,"15:46",3,1,1,"Daylight",1,9,3,3,1,5
"16",1,2017-01-27,"13:35",6,4,1,"Daylight",1,19,3,3,2,14
"17",2,2017-01-27,"14:05",6,1,1,"Daylight",1,9,1,3,2,33
"18",2,2017-01-27,"22:33",6,2,4,"Dark",2,9,1,3,1,28
"20",1,2017-01-29,"14:30",6,2,1,"Daylight",5,9,3,3,2,27
"21",2,2017-01-29,"22:30",6,2,4,"Dark",7,9,1,3,2,60
"22",1,2017-01-30,"14:44",6,1,1,"Daylight",1,8,3,3,1,50
"23",2,2017-01-31,"14:35",3,2,1,"Daylight",2,9,1,3,2,40
"25",2,2017-02-01,"14:00",3,2,1,"Daylight",1,9,1,3,2,48
"26",2,2017-02-02,"10:45",6,2,1,"Daylight",1,9,1,3,2,76
"27",2,2017-02-02,"22:00",3,1,4,"Dark",1,9,1,3,1,22
"28",1,2017-02-03,"18:06",3,1,4,"Dark",1,9,3,3,2,14
"29",3,2017-02-04,"06:12",3,2,4,"Dark",1,9,1,2,1,26
"30",2,2017-02-04,"13:10",3,1,1,"Daylight",1,19,1,3,2,65
"32",2,2017-02-05,"12:27",3,1,1,"Daylight",1,9,1,3,1,51
"33",1,2017-02-07,"09:21",6,1,1,"Daylight",1,9,1,3,1,67
"34",2,2017-02-07,"14:23",4,1,1,"Daylight",1,9,1,3,1,28
"35",2,2017-02-07,"15:46",3,1,1,"Daylight",1,9,1,3,1,34
"36",1,2017-02-06,"19:00",6,2,4,"Dark",1,9,3,3,2,14
"37",1,2017-02-08,"08:33",6,1,1,"Daylight",1,9,3,3,2,13
"38",1,2017-02-08,"14:30",3,2,1,"Daylight",1,9,3,2,2,76
"39",1,2017-02-08,"17:30",6,1,7,"Dark",1,3,3,3,2,45
"40",2,2017-02-08,"18:30",6,1,4,"Dark",1,9,1,3,2,30
"41",4,2017-02-11,"06:05",4,3,4,"Dark",3,9,1,3,1,35
"42",3,2017-02-12,"13:38",1,2,1,"Daylight",6,9,1,3,1,57
"43",3,2017-02-12,"14:50",3,2,1,"Daylight",3,9,1,3,1,26
"44",2,2017-02-13,"22:43",3,1,4,"Dark",1,9,1,3,1,24
"45",2,2017-02-15,"12:25",3,1,1,"Daylight",1,9,1,2,1,68
"46",2,2017-02-15,"14:30",3,1,1,"Daylight",1,9,1,3,2,53
